Regione,Presenze2017,TotaleHotel,TotaleBeB,TotaleAltreStrutture,Hotel5Stelle,Hotel4Stelle,Hotel3Stelle,Hotel2Stelle,Hotel1Stelle
ABRUZZO,6120461,3721,4667,6661,30,500,2119,576,496
BASILICATA,2445049,1116,1430,3974,26,254,572,179,85
CALABRIA,8849703,3509,6406,5969,80,1111,1688,438,192
CAMPANIA,19864180,8061,9025,27322,285,2422,3888,973,493
EMILIA-ROMAGNA,39983488,20580,10738,33914,64,2159,12220,4356,1781
FRIULI-VENEZIA-GIULIA,8652570,3419,3063,47226,13,474,1735,671,526
LAZIO,33655411,10159,20078,38339,211,2292,4385,2227,1044
LIGURIA,15459792,6329,5251,15877,59,586,2711,2032,941
LOMBARDIA,37575640,13334,11216,34842,204,2932,6154,2318,1726
MARCHE,11039370,4093,8276,12417,15,564,2421,787,306
MOLISE,406708,477,748,1600,5,113,205,118,36
PIEMONTE,14187340,7005,9312,20456,52,1045,3641,1318,949
PUGLIA,15126026,4661,15118,14447,162,1712,2113,467,207
SARDEGNA,14168643,5789,17245,14527,175,1804,2852,709,249
SICILIA,14592476,5833,13666,16230,163,1844,2574,752,500
TOSCANA,45897527,12858,7308,75518,313,2317,6610,2416,1202
TRENTINO-ALTO-ADIGE,50137935,23338,1782,51838,140,3118,12060,5844,2176
UMBRIA,5458006,2565,4054,17215,17,398,1266,677,207
VALLE-D'AOSTA,3577189,1941,998,3400,28,239,990,524,160
VENETO,68940376,14681,14945,94354,230,2670,7180,2917,1684
